seller_country,max_price,min_price,mean_price,median_price,count
Japan,9989.00,20.00,2617.39,2110.25,6097
United States,10000.00,14.30,1563.12,551.00,5349
Italy,9968.40,19.17,651.77,230.04,4951
France,9866.16,20.45,1102.40,402.57,4016
Spain,9955.62,25.56,1639.25,750.83,1412
United Kingdom,9875.32,22.45,1564.80,660.76,876
Germany,9942.84,19.17,2233.33,600.66,657
Hong Kong,9955.66,22.67,2409.02,1684.80,478
Romania,9457.20,31.95,1028.31,191.70,379
Greece,9457.20,20.45,1114.88,368.06,370
Poland,8805.42,33.71,820.38,298.32,328
Belgium,9968.40,23.00,2429.71,957.22,327
Singapore,9973.34,32.66,2706.73,1842.86,173
Portugal,9790.00,26.84,979.15,217.26,173
Sweden,9458.48,27.61,1941.06,855.98,160
Netherlands,8946.00,23.00,1664.30,345.06,159
Bulgaria,9073.80,40.41,965.05,345.06,157
Switzerland,9929.78,43.34,1281.44,359.45,134
Austria,8038.62,44.73,956.63,364.23,122
Australia,9328.47,27.21,1094.23,516.95,102
Cyprus,9585.00,23.00,746.17,191.70,85
Finland,8434.80,47.29,992.84,549.54,70
Ireland,5132.45,37.06,748.12,367.20,64
Canada,9421.43,26.17,1376.87,512.50,60
Hungary,7284.60,47.29,881.06,255.60,53
Croatia,7604.10,28.12,1470.25,152.08,44
Latvia,7923.60,35.78,1787.27,893.32,43
Slovakia,6134.40,38.34,688.06,230.04,41
Luxembourg,9137.70,57.51,1425.02,230.04,39
Denmark,9585.00,25.56,1401.26,500.50,37
Vietnam,3398.00,199.00,1287.14,1046.50,36
South Korea,8521.04,141.24,1001.44,339.10,32
Monaco,9772.94,37.06,3006.54,2095.92,29
Lithuania,7144.02,40.90,1067.58,249.00,27
Malaysia,4620.00,52.80,1077.19,432.47,25
United Arab Emirates,3685.00,28.43,1446.62,1377.62,24
Slovenia,5751.00,28.12,1008.18,149.53,23
Indonesia,9157.50,258.50,3056.58,2420.00,17
Turkey,1827.54,103.26,502.87,226.52,14
Czech Republic,9712.80,37.40,2687.20,1086.30,14
Estonia,7412.40,107.35,1962.16,830.70,9
Philippines,2667.50,66.00,966.91,552.75,8
Malta,1789.20,69.01,778.61,479.25,7
Thailand,1265.00,98.41,609.51,514.97,7
China,6615.53,147.04,1924.35,760.41,7
Saudi Arabia,1000.00,41.80,484.82,348.57,6
The Canary Islands,460.08,62.62,214.69,168.02,4
Albania,383.40,74.12,161.98,95.21,4
Mexico,920.70,60.50,386.60,282.60,4
Lebanon,1468.50,110.00,617.07,444.88,4
Israel,3796.41,995.56,2724.45,3052.91,4
South Africa,7920.00,176.00,2779.33,242.00,3
Kuwait,1034.00,374.12,606.55,411.53,3
Bahrain,8415.00,46.20,2860.81,121.22,3
Macau,5751.00,214.70,2982.85,2982.85,2
Russia,485.64,485.64,485.64,485.64,1
Qatar,3297.80,3297.80,3297.80,3297.80,1
New Zealand,4190.16,4190.16,4190.16,4190.16,1
Tunisia,2970.00,2970.00,2970.00,2970.00,1
Guernsey,6397.48,6397.48,6397.48,6397.48,1
