Country,Number of Watches
Japan,5154
United States,3000
Italy,2983
France,2504
Spain,926
United Kingdom,456
Germany,385
Hong Kong,291
Belgium,246
Romania,196
Greece,186
Poland,175
Singapore,120
Sweden,119
Portugal,104
Netherlands,95
Bulgaria,93
Austria,74
Switzerland,67
Australia,51
Finland,48
Hungary,40
Ireland,36
Vietnam,27
Cyprus,26
Canada,23
Slovakia,21
Latvia,18
United Arab Emirates,16
Malaysia,15
Croatia,14
South Korea,14
Indonesia,13
Denmark,13
Luxembourg,11
Lithuania,10
Slovenia,10
Monaco,10
Turkey,8
Philippines,7
Thailand,6
Malta,5
China,5
Mexico,4
Czech Republic,3
Saudi Arabia,3
South Africa,3
Estonia,2
Kuwait,2
Bahrain,2
Albania,2
Tunisia,1
Guernsey,1
