product_category,last_word_product_type,Count,Percentage,Average Price
Men Shoes,trainers,65017,15.61,307.28
Men Clothing,jacket,32514,7.8,478.15
Men Accessories,tie,27968,6.71,82.88
Men Clothing,shirt,25940,6.23,163.22
Men Clothing,sweatshirt,21717,5.21,241.9
Men Clothing,vest,20000,4.8,335.32
Men Clothing,t-shirt,19455,4.67,156.0
Men Accessories,sunglasses,18475,4.43,246.42
Men Shoes,flats,18302,4.39,322.91
Men Shoes,ups,17668,4.24,307.57
Men Accessories,watch,17644,4.23,1779.47
Men Clothing,trousers,16236,3.9,204.03
Men Clothing,pull,16060,3.85,224.06
Men Shoes,boots,15992,3.84,398.51
Men Accessories,hat,10095,2.42,205.89
Men Clothing,coat,8600,2.06,555.4
Men Accessories,square,8194,1.97,184.53
Men Accessories,belt,7941,1.91,268.39
Men Clothing,jeans,7748,1.86,176.81
Men Shoes,sandals,7012,1.68,370.46
Men Clothing,suit,5200,1.25,380.43
Men Accessories,jewellery,4570,1.1,523.44
Men Clothing,puffer,4262,1.02,416.46
Men Clothing,jean,3963,0.95,194.22
Men Clothing,short,2042,0.49,188.07
Men Clothing,trench,2014,0.48,397.5
Men Clothing,parka,1910,0.46,491.49
Men Clothing,swimwear,1812,0.43,158.8
Men Accessories,cufflinks,1626,0.39,580.22
Men Shoes,espadrilles,1390,0.33,286.57
Men Clothing,trenchcoat,1387,0.33,411.72
Men Clothing,peacoat,1138,0.27,398.02
Men Accessories,gloves,879,0.21,230.42
Men Clothing,bermuda,759,0.18,192.18
Men Clothing,dufflecoat,536,0.13,359.3
Men Clothing,shorts,215,0.05,197.69
Men Clothing,ups,173,0.04,238.34
Men Clothing,hat,45,0.01,115.83
Men Clothing,boots,34,0.01,273.63
Men Clothing,flats,25,0.01,310.92
Men Clothing,tie,23,0.01,49.09
Men Clothing,trainers,14,0.0,101.75
Men Clothing,square,10,0.0,250.65
Men Clothing,belt,5,0.0,42.52
Men Clothing,espadrilles,5,0.0,41.18
Men Clothing,jewellery,2,0.0,89.28
Men Clothing,sunglasses,1,0.0,298.32
Men Accessories,lifestyle,1,0.0,575.1
Men Clothing,pants,1,0.0,89.46
Men Shoes,leather,1,0.0,241.54
Men Shoes,page/nom_singulier/31,1,0.0,383.4
Men Clothing,laine,1,0.0,218.54
Men Clothing,cufflinks,1,0.0,383.4
